week_end,pathogen,geography,percent_visits,status,trend_on_date,recent_trend,month,year,age_group,gender,socio_economic_status,air_quality_index,temperature,humidity,mobility_index,mask_compliance,estimated_cost
2022-10-01,COVID-19,Alabama,1.0,Reporting,Decreasing,No Change,10,2022,65+,Female,Middle,37,37.03791410977454,32.56237226053605,65.2389300898152,42.00651209204659,291.5469828812403
2022-10-01,COVID-19,Alaska,1.6,Reporting,Decreasing,Increasing,10,2022,0-17,Female,Low,306,14.416889360323228,44.92401719131457,2.8687079008208216,66.13195082224327,794.9055159018603
2022-10-01,COVID-19,Arizona,1.6,Reporting,Decreasing,Increasing,10,2022,0-17,Female,Middle,1,2.9623867750256423,80.84121101343105,46.98762969307359,78.19572289264157,1386.7041688786708
2022-10-01,COVID-19,Arkansas,1.0,Reporting,Decreasing,No Change,10,2022,18-49,Female,High,391,-0.6319786184170919,55.31336928297831,71.94395433615057,42.47374360690102,275.0948250538713
2022-10-01,COVID-19,California,1.1,Reporting,Decreasing,Increasing,10,2022,50-64,Male,Low,458,6.045634772886235,10.95661599340858,74.74735596074763,38.07260582263391,991.0098019322289
2022-10-01,COVID-19,Colorado,1.6,Reporting,Decreasing,Increasing,10,2022,50-64,Male,High,393,13.926261141046464,10.966933705338866,74.59401578850947,78.21979947177972,1404.6397529357218
2022-10-01,COVID-19,Connecticut,3.4,Reporting,Increasing,Increasing,10,2022,18-49,Female,Low,89,-5.035552519204525,45.02556726915774,15.699628336356541,80.32761457982896,457.01199392456857
2022-10-01,COVID-19,Delaware,2.7,Reporting,No Change,No Change,10,2022,65+,Male,High,373,2.5741332633321825,60.52750659439482,91.55732902692009,34.42512604756735,756.677964253739
2022-10-01,COVID-19,District of Columbia,1.8,Reporting,Decreasing,No Change,10,2022,50-64,Female,High,474,25.63562818922793,85.07486359947622,60.517017225710305,28.531070989944386,1201.007055809673
2022-10-01,COVID-19,Florida,1.5,Reporting,Decreasing,Increasing,10,2022,65+,Female,Low,428,-6.99708497534551,83.61336904402158,32.62016212970469,94.69513112679809,387.30824015042987
2022-10-01,COVID-19,Georgia,0.6,Reporting,Decreasing,Increasing,10,2022,65+,Male,Low,484,16.732747211819362,62.28532466389244,87.9931989624703,18.152554891659932,1490.3219641806872
2022-10-01,COVID-19,Hawaii,2.9,Reporting,Decreasing,Increasing,10,2022,65+,Female,High,212,4.75243889820937,48.06620394517929,57.141294376661435,58.21804331619943,1096.7579391799109
2022-10-01,COVID-19,Idaho,2.3,Reporting,Decreasing,No Change,10,2022,65+,Male,High,422,12.054330857393655,73.96552786355035,7.716683544631742,86.68065480171077,1543.7700929715998
2022-10-01,COVID-19,Illinois,1.8,Reporting,Decreasing,No Change,10,2022,50-64,Female,High,106,-0.12950507260150168,55.95927183954643,46.92517608822608,98.77911362816269,1527.1168942612076
2022-10-01,COVID-19,Indiana,1.5,Reporting,Decreasing,No Change,10,2022,0-17,Male,Middle,344,11.850432983594114,69.80757655934848,42.02832593299753,94.84002410499893,1587.5653751435257
2022-10-01,COVID-19,Iowa,2.7,Reporting,Decreasing,Decreasing,10,2022,65+,Female,High,327,-8.651524600572838,37.10673905088462,52.989944041718886,64.44241070374206,513.5835564177817
2022-10-01,COVID-19,Kansas,1.7,Reporting,Decreasing,No Change,10,2022,18-49,Female,Middle,92,-4.312024179541609,76.51400033278993,12.28358617793226,40.45487431739995,607.4546910632737
2022-10-01,COVID-19,Kentucky,1.8,Reporting,Decreasing,No Change,10,2022,65+,Male,Low,390,-5.298070806554769,67.83333310225322,92.006808888195,53.632619847625776,1818.3388108333222
2022-10-01,COVID-19,Louisiana,1.1,Reporting,Decreasing,Increasing,10,2022,18-49,Female,High,394,-8.928735628612008,32.3511100990156,40.81291446469438,9.977130186896577,1303.03946606098
2022-10-01,COVID-19,Maine,4.1,Reporting,Increasing,No Change,10,2022,50-64,Female,Middle,492,36.37870464321017,68.50624525551734,76.89378487499182,41.82031512358668,1258.9719007828776
2022-10-01,COVID-19,Maryland,2.2,Reporting,Decreasing,No Change,10,2022,18-49,Female,Low,210,-9.48044731519512,60.2078264144966,35.32676184571852,45.014994083231905,1385.7705608921551
2022-10-01,COVID-19,Massachusetts,3.2,Reporting,Increasing,No Change,10,2022,0-17,Male,Middle,367,-4.736020560911882,96.6767159407446,83.98011508544856,81.66035015025867,294.5926175304046
2022-10-01,COVID-19,Michigan,3.1,Reporting,Decreasing,Decreasing,10,2022,0-17,Male,Low,299,-5.615778899422538,36.70389856382309,12.61439778366007,38.468140271018335,556.7729791307975
2022-10-01,COVID-19,Minnesota,2.3,Reporting,Decreasing,No Change,10,2022,65+,Male,Middle,87,34.0342359275893,55.549402639544745,47.96319465949549,14.63231508187116,318.37182293029036
2022-10-01,COVID-19,Mississippi,0.8,Reporting,Decreasing,No Change,10,2022,18-49,Female,Middle,275,23.100406337853045,92.16485308198097,96.8145152656137,43.794906617134586,839.6183406986481
2022-10-01,COVID-19,Montana,2.9,Reporting,Increasing,No Change,10,2022,18-49,Female,Middle,159,16.94990511325693,61.977351137024485,0.13996414429161552,34.314365078085984,1553.6890176354323
2022-10-01,COVID-19,National,1.8,Reporting,Decreasing,Increasing,10,2022,18-49,Female,Low,400,24.26790982617944,19.190792542063928,32.95986194366684,19.122550604120303,1549.9297138749105
2022-10-01,COVID-19,Nebraska,1.3,Reporting,Decreasing,No Change,10,2022,18-49,Male,High,208,-6.194397209802929,26.381852389266502,84.58003229877437,49.74849541524924,1389.625078926005
2022-10-01,COVID-19,Nevada,1.4,Reporting,No Change,Increasing,10,2022,65+,Female,High,365,12.463965681165764,36.58374556049605,61.34535258125871,99.26957212168678,821.045382663131
2022-10-01,COVID-19,New Jersey,2.8,Reporting,Increasing,Increasing,10,2022,0-17,Male,High,401,-7.662682665045731,29.62251328317854,12.240323624804429,15.959967378200513,1455.455749734549
2022-10-01,COVID-19,New Mexico,2.1,Reporting,Decreasing,Increasing,10,2022,18-49,Male,High,295,-3.1049861556028873,47.70788944664323,30.606558785143136,21.67653581181882,1727.477756924583
2022-10-01,COVID-19,New York,2.3,Reporting,No Change,Increasing,10,2022,65+,Male,Middle,471,32.46720162684607,4.567201672958932,15.669894789331662,68.37810461754252,1895.261908955168
2022-10-01,COVID-19,North Carolina,2.6,Reporting,Decreasing,No Change,10,2022,50-64,Female,Low,400,39.51152200382936,70.81137516938433,5.815251218590234,53.063721784546914,753.6501515445381
2022-10-01,COVID-19,North Dakota,2.5,Reporting,No Change,No Change,10,2022,50-64,Male,Middle,29,24.742451509738956,87.12828684941388,78.22705984311212,90.6143461111422,1577.3945196470063
2022-10-01,COVID-19,Ohio,1.8,Reporting,Decreasing,No Change,10,2022,65+,Male,Middle,489,17.9728336057347,31.727466970455175,78.44585274477384,14.861627895471042,418.1955002666848
2022-10-01,COVID-19,Oklahoma,1.2,Reporting,Decreasing,No Change,10,2022,0-17,Female,High,200,-7.645928099297352,65.18078192526995,52.12376849436261,82.21147591942064,432.2616637404639
2022-10-01,COVID-19,Oregon,2.4,Reporting,No Change,Increasing,10,2022,18-49,Female,Low,461,19.23613847633496,30.70708330239478,82.99986646069247,41.01135293928777,1788.1951258723616
2022-10-01,COVID-19,Pennsylvania,2.2,Reporting,Decreasing,No Change,10,2022,50-64,Female,Middle,458,1.712216818026194,88.06078323529644,75.07456684917771,79.72013396063075,1338.5656573410668
2022-10-01,COVID-19,Region 1,3.3,Reporting,Increasing,Increasing,10,2022,65+,Male,Low,101,31.55131137369836,58.736365914844555,78.96273770773938,55.20171305326272,287.7602271065903
2022-10-01,COVID-19,Region 10,2.6,Reporting,Decreasing,Increasing,10,2022,18-49,Female,Low,433,13.367054977442741,83.44573281455646,45.46497580196542,7.376394364457395,532.7861833219295
2022-10-01,COVID-19,Region 2,2.4,Reporting,No Change,Increasing,10,2022,0-17,Female,High,186,13.671494037168124,13.542102423733693,48.97953439630767,92.65075079163552,868.8202996026407
2022-10-01,COVID-19,Region 3,2.2,Reporting,Decreasing,No Change,10,2022,65+,Male,High,419,2.0194306859131412,55.051718440674534,66.58318295783874,43.89630476586943,1783.882999524689
2022-10-01,COVID-19,Region 4,1.5,Reporting,Decreasing,Increasing,10,2022,18-49,Male,Low,278,27.335135042927767,71.29575541016622,42.94091164385808,14.833761685808843,1455.6127760254717
2022-10-01,COVID-19,Region 5,2.1,Reporting,Decreasing,Decreasing,10,2022,50-64,Female,High,416,-8.327642872273834,93.7620213998164,55.37853909621243,40.39132516645332,548.9291634940512
2022-10-01,COVID-19,Region 6,1.1,Reporting,Decreasing,Increasing,10,2022,0-17,Male,High,354,11.660236455274124,45.20153955367333,0.96692860612827,95.36385072075157,348.3853740547707
2022-10-01,COVID-19,Region 7,0.9,Reporting,Decreasing,No Change,10,2022,18-49,Female,High,12,19.937231083386855,18.07711700768868,70.82181341200413,23.34297375908112,1214.2038269045183
2022-10-01,COVID-19,Region 8,1.9,Reporting,Decreasing,Increasing,10,2022,65+,Female,Low,8,24.9921101808386,3.2458619795406762,78.73696704985448,2.269878169712325,1792.9049364226737
2022-10-01,COVID-19,Region 9,1.4,Reporting,Decreasing,Increasing,10,2022,18-49,Male,High,151,17.341728008852563,37.68412584836839,44.20272156208285,84.20872449372844,826.3801549933856
2022-10-01,COVID-19,Rhode Island,2.5,Reporting,Increasing,No Change,10,2022,65+,Female,High,478,-9.883983725936897,22.842016335584702,78.25162558767944,15.10699062207339,1671.0359003751312
2022-10-01,COVID-19,South Carolina,1.4,Reporting,Decreasing,Increasing,10,2022,18-49,Male,Low,76,37.594531598412175,76.91511487756352,82.04855956884714,38.28270308583793,828.8256808016315
2022-10-01,COVID-19,Tennessee,1.2,Reporting,Decreasing,No Change,10,2022,18-49,Female,Middle,474,-9.696001835775604,62.210866442210545,34.799686927890875,54.48929073291991,1264.002176124561
2022-10-01,COVID-19,Texas,1.0,Reporting,Decreasing,Increasing,10,2022,18-49,Male,Low,400,30.398771904025637,80.58187206884969,10.119564558716277,91.11680111795852,988.6588593424086
2022-10-01,COVID-19,Utah,1.9,Reporting,Decreasing,Increasing,10,2022,0-17,Male,Low,233,18.989804924530915,28.631974848655204,0.6368413312557997,91.0785020205024,1246.758404058439
2022-10-01,COVID-19,Vermont,3.7,Reporting,No Change,No Change,10,2022,50-64,Male,Middle,233,26.899639467948013,22.877662293035705,53.10561787655905,83.11647982191388,1209.313673687324
2022-10-01,COVID-19,Virginia,2.1,Reporting,Decreasing,Increasing,10,2022,18-49,Female,Low,398,29.18242364233126,68.34969395605141,35.809088238030085,48.927426322835366,373.37267628681116
2022-10-01,COVID-19,Washington,2.8,Reporting,No Change,Increasing,10,2022,0-17,Female,High,311,-7.669512900572231,1.623279772931152,14.766868355778207,0.05830496182984701,359.5924379839334
2022-10-01,COVID-19,West Virginia,2.6,Reporting,Decreasing,Decreasing,10,2022,65+,Male,High,163,9.715694804980359,82.67821810465004,54.97958553225448,48.058317296703066,268.2418350375783
2022-10-01,COVID-19,Wisconsin,2.1,Reporting,Decreasing,No Change,10,2022,50-64,Female,Middle,231,22.475858277815952,23.503090307987772,60.11000670752576,14.802736767393077,790.5490049679578
2022-10-01,COVID-19,Wyoming,2.9,Reporting,No Change,No Change,10,2022,18-49,Male,Low,295,1.1776347194284806,28.81209132535856,32.015436332256996,91.47211441114948,439.34030225349545
2022-10-01,Influenza,Alabama,1.3,Reporting,Increasing,Decreasing,10,2022,0-17,Male,Low,260,21.409738182259368,1.7941874398091806,23.119187943417153,26.843417684060867,232.4128794575974
2022-10-01,Influenza,Alaska,0.1,Reporting,No Change,Decreasing,10,2022,18-49,Male,Middle,234,21.63331888956581,92.13531106597692,88.21576267558751,86.36349072171203,1645.761204483149
2022-10-01,Influenza,Arizona,0.2,Reporting,No Change,No Change,10,2022,0-17,Female,High,101,0.8155278359206459,87.14451648018368,52.29716689062192,78.85287374360199,1733.9580508693016
2022-10-01,Influenza,Arkansas,0.3,Reporting,Increasing,Decreasing,10,2022,65+,Male,Low,361,-3.8496710965637693,42.447178901611316,48.90849274304947,10.414357767503136,1643.7150471422958
2022-10-01,Influenza,California,0.2,Reporting,No Change,No Change,10,2022,0-17,Female,Low,115,0.6798627799339183,47.09421962364894,82.1486538537046,43.24478024265711,174.70965917198987
2022-10-01,Influenza,Colorado,0.1,Reporting,Increasing,Decreasing,10,2022,0-17,Male,Low,449,13.918170597517019,49.8491554399675,80.99907460428231,26.192952193129404,1477.2252073396394
2022-10-01,Influenza,Connecticut,0.1,Reporting,Increasing,Decreasing,10,2022,65+,Male,Low,449,16.04281283394282,86.56721967750863,24.051666757663746,83.67784857485664,889.3867069816561
2022-10-01,Influenza,Delaware,0.1,Reporting,No Change,Decreasing,10,2022,0-17,Male,High,222,1.4870491357985767,82.84424992901744,61.69822678106788,1.0264852453122697,1879.4113760046578
2022-10-01,Influenza,District of Columbia,0.1,Reporting,No Change,Decreasing,10,2022,0-17,Male,Middle,445,14.286111284857022,80.23797553835777,95.76229275774898,49.345785289394215,1297.5877785466364
2022-10-01,Influenza,Florida,0.7,Reporting,Increasing,No Change,10,2022,65+,Female,High,352,11.462251197417153,6.8224594105578245,54.03681304551131,98.61198542029511,418.1739620736515
2022-10-01,Influenza,Georgia,1.3,Reporting,Increasing,Decreasing,10,2022,18-49,Female,Middle,60,0.05303661494841272,85.78333806731882,7.456452752161646,17.477601726154145,1494.1803516430336
2022-10-01,Influenza,Hawaii,1.4,Reporting,No Change,Increasing,10,2022,65+,Male,Low,2,17.19059977446611,67.50268701639737,17.604469322502357,60.09048900243251,530.6225572899123
2022-10-01,Influenza,Idaho,0.1,Reporting,No Change,No Change,10,2022,0-17,Male,High,261,37.935123198880774,27.851828717755712,52.351379790958354,69.30705423826853,1546.9355155110682
2022-10-01,Influenza,Illinois,0.1,Reporting,Increasing,Decreasing,10,2022,18-49,Female,High,295,-7.860280216950773,65.51210187160967,26.838666127704023,0.6113201901912446,673.7643575573537
2022-10-01,Influenza,Indiana,0.2,Reporting,Increasing,Decreasing,10,2022,50-64,Male,Middle,148,10.141791346248532,9.649643794045792,75.38501730606374,88.89053819087317,778.8446433500865
2022-10-01,Influenza,Iowa,0.2,Reporting,No Change,Decreasing,10,2022,65+,Female,High,121,23.983302704182783,63.62706930031392,34.043769807072024,7.256079774037061,1088.9520317188167
2022-10-01,Influenza,Kansas,0.1,Reporting,Increasing,Decreasing,10,2022,0-17,Female,Low,408,30.485691593766106,14.876620820464792,78.81972114097479,32.921300029357745,270.04192960958846
2022-10-01,Influenza,Kentucky,0.1,Reporting,Increasing,Decreasing,10,2022,50-64,Female,Middle,97,7.286292309683876,33.94937271399073,86.52543135260056,36.86437797240647,729.1247183981253
2022-10-01,Influenza,Louisiana,2.0,Reporting,Increasing,No Change,10,2022,65+,Male,Middle,310,27.954077937843493,96.48861844995876,16.32973500474345,68.99915574755832,1271.1640594570536
2022-10-01,Influenza,Maine,0.0,Reporting,No Change,Decreasing,10,2022,50-64,Female,Low,274,-2.328508162633627,5.74346707782869,21.848238387092145,68.10059283225026,317.7276443192054
2022-10-01,Influenza,Maryland,0.3,Reporting,Increasing,Decreasing,10,2022,50-64,Male,High,431,26.37317636694032,84.3600941520765,83.13967234016263,47.803588081813444,337.7121503591786
2022-10-01,Influenza,Massachusetts,0.1,Reporting,Increasing,Decreasing,10,2022,50-64,Male,High,197,2.493511809469549,74.94357496350584,65.57839415600017,16.786643904488418,1299.2997951820214
2022-10-01,Influenza,Michigan,0.0,Reporting,No Change,Decreasing,10,2022,50-64,Female,Middle,282,-9.552217181375724,76.39370179735069,2.9236402204542267,41.754342652063755,1285.3517489045933
2022-10-01,Influenza,Minnesota,0.1,Reporting,No Change,Decreasing,10,2022,50-64,Female,Low,29,6.488325846460029,70.87115271871428,4.2686667354767565,17.54260154832862,1905.3215766367773
2022-10-01,Influenza,Mississippi,0.6,Reporting,Increasing,Decreasing,10,2022,50-64,Female,Low,302,19.38459222401393,26.466443952871355,84.54193759433299,43.902927427657886,567.223588346715
2022-10-01,Influenza,Montana,0.1,Reporting,Increasing,Decreasing,10,2022,18-49,Female,Low,100,35.846530053550254,56.68421965271477,80.67658265947045,61.776402967311725,1859.8639499941298
2022-10-01,Influenza,National,0.5,Reporting,Increasing,Decreasing,10,2022,65+,Male,High,327,19.87663095730512,48.058020200869755,67.14169146176702,40.376553772433724,514.09698461058
2022-10-01,Influenza,Nebraska,0.0,Reporting,No Change,Decreasing,10,2022,0-17,Female,High,29,7.717916287827549,92.32418385608551,77.23317215729422,28.024392058350422,446.4286145638546
2022-10-01,Influenza,Nevada,0.1,Reporting,No Change,No Change,10,2022,65+,Male,High,212,9.848375850146088,10.88489476110528,59.7227149748406,5.778322566991722,760.0353753109018
